Envelope_ID,Colour_flower,Holes,Larvae_weevil,presence_indirect,area_fruit,num_seeds,average_area_seeds,Threshold,Notes,paired_test
60,yellow,1,1,1,1.403,210,0.006,0.003,,1
62,yellow,0,0,0,1.233,726,0.005,0.003,,1
62,yellow,1,2,1,0.893,339,0.004,0.003,,1
63,yellow,0,0,0,0.927,350,0.005,0.003,,1
63,yellow,1,1,1,1.117,334,0.005,0.003,,1
64,yellow,0,0,0,1.007,635,0.005,0.003,,1
64,yellow,1,0,0,1.028,506,0.006,0.003,,1
65,yellow,0,0,0,1.146,441,0.006,0.003,,1
65,yellow,1,1,1,1.148,288,0.007,0.003,,1
66,yellow,0,0,0,1.585,708,0.006,0.003,,1
66,yellow,1,1,1,1.205,254,0.006,0.003,,1
67,yellow,0,0,0,0.875,347,0.008,0.005,,1
67,yellow,1,2,1,1.060,280,0.009,0.005,,1
68,yellow,0,0,0,1.292,622,0.004,0.003,,0
68,yellow,0,0,0,1.313,440,0.005,0.003,,0
69,yellow,0,0,0,0.980,543,0.005,0.003,,1
69,yellow,1,1,1,1.029,493,0.005,0.003,,1
70,yellow,1,1,1,1.033,131,0.008,0.005,,0
70,yellow,1,1,1,1.131,255,0.008,0.005,,0
71,yellow,0,0,0,1.242,775,0.006,0.003,,1
71,yellow,1,1,1,1.124,205,0.005,0.003,,1
72,yellow,0,0,0,1.029,442,0.005,0.003,,1
72,yellow,1,2,1,1.365,617,0.005,0.003,,1
73,yellow,0,0,0,1.523,877,0.007,0.003,,1
73,yellow,1,1,1,1.607,824,0.006,0.003,,1
74,yellow,0,0,0,1.067,477,0.006,0.003,,1
74,yellow,1,0,0,0.987,483,0.007,0.003,,1
75,yellow,0,0,0,1.173,510,0.006,0.003,,1
75,yellow,1,0,0,1.460,789,0.006,0.003,,1
76,yellow,0,2,1,1.363,787,0.006,0.003,,0
76,yellow,0,0,0,1.689,563,0.007,0.005,,0
77,yellow,0,0,0,0.889,467,0.011,0.005,,0
77,yellow,0,0,0,1.160,743,0.011,0.005,,0
78,yellow,0,0,0,0.978,470,0.008,0.005,,1
78,yellow,1,1,1,0.833,220,0.005,0.003,,1
79,yellow,1,2,1,1.043,456,0.005,0.003,,0
80,yellow,0,0,0,1.358,253,0.008,0.005,,1
80,yellow,1,1,1,1.482,260,0.007,0.003,,1
82,yellow,0,0,0,1.444,756,0.007,0.003,,1
82,yellow,1,2,1,1.345,611,0.006,0.003,,1
83,yellow,0,0,0,0.907,263,0.006,0.003,,0
83,yellow,0,0,0,1.126,704,0.006,0.003,,0
