"ID","hole_robbing"
"pA0119","1"
"pA0120","1"
"pA0121","1"
"pA0124","1"
"pA0126","1"
"pA0127","1"
"pA0128","1"
"pA0129","1"
"pA0130","1"
"pA0131","1"
"pA0132","1"
"pA0133","1"
"pA0136","1"
"pA0140","1"
"pA0142","1"
"pA0143","1"
"pA0145","1"
"pA0147","1"
"pA0149","1"
"pA0151","1"
"pA0152","1"
"pA0155","1"
"pA0158","1"
"pA0159","1"
"pA0161","1"
"pA0162","1"
"pA0163","1"
"pA0164","1"
"pA0165","1"
"pA0166","1"
"pA0168","1"
"pA0174","1"
"pA0175","1"
"pA0176","1"
"pA0177","1"
"pA0178","1"
"pA0180","1"
"pA0183","1"
"pA0186","1"
"pA0187","1"
"pA0189","1"
"pA0192","1"
"pA0193","1"
"pA0196","1"
"pA0199","1"
"pA0200","1"
"pA0201","1"
"pA0202","1"
"pA0203","1"
"pA0205","1"
"pA0206","1"
"pA0208","1"
"pA0209","1"
"pA0211","1"
"pA0213","1"
"pA0214","1"
"pA0215","1"
"pA0217","1"
"pA0218","1"
"pA0219","1"
"pA0220","1"
"pA0221","1"
"pA0222","1"
"pA0226","1"
"pA0227","1"
"pA0228","1"
"pA0229","1"
"pA0235","1"
"pA0236","1"
"pA0237","1"
"pA0241","1"
"pA0242","1"
"pA0244","1"
"pA0245","1"
"pA0246","1"
"pA0247","1"
"pA0249","1"
"pA0252","1"
"pA0254","1"
"pA0255","1"
"pA0258","1"
"pA0259","1"
"pA0260","1"
"pA0261","1"
"pA0263","1"
"pA0264","1"
"pA0265","1"
"pA0266","1"
"pA0268","1"
"pA0270","1"
"pA0273","1"
"pA0274","1"
"pA0275","1"
"pA0276","1"
"pA0278","1"
"pA0285","1"
"pA0289","1"
"pA0291","1"
"pA0292","1"
"pA0296","1"
"pA0298","1"
"pA0299","1"
"pA0300","1"
"pA0301","1"
"pA0306","1"
"pA0307","1"
"pA0308","1"
"pA0309","1"
"pA0314","1"
"pA0315","1"
"pA0319","1"
"pA0320","1"
"pA0327","1"
"pA0331","1"
"pA0339","1"
"pA0341","1"
"pA0342","1"
"pA0344","1"
"pA0345","1"
"pA0350","1"
"pA0355","1"
"pA0356","1"
"pA0358","1"
"pA0359","1"
"pA0360","1"
"pA0364","1"
"pA0366","1"
"pA0368","1"
"pA0370","1"
"pA0371","1"
"pA0373","1"
"pA0374","1"
"pA0376","1"
"pA0378","1"
"pA0381","1"
"pA0382","1"
"pA0383","1"
"pA0384","1"
"pA0385","1"
"pA0386","1"
"pA0387","1"
"pA0388","1"
"pA0390","1"
"pA0391","1"
"pA0393","1"
"pA0394","1"
"pA0396","1"
"pA0397","1"
"pA0398","1"
"pA0399","1"
"pA0400","1"
"pA0401","1"
"pA0402","1"
"pA0403","1"
"pA0406","1"
"pA0407","1"
"pA0409","1"
"pA0410","1"
"pA0412","1"
"pA0415","1"
"pA0416","1"
